name,price,description,image
"L'Oreal Paris Extraordinary Oil Hair Serum, Anti-Frizz Serum With UV Protection(100ml)",₹474,"  Explore the entire range of  Hair Serum available on Nykaa. Shop more  L'Oréal Paris products here.You can browse through the complete world of   L'Oréal Paris Hair Serum .Expiry Date: 15 April 2026Country of Origin:   ChinaManufacturer:   BEAUTYCOS, INTERNATIONAL CO., LTD.Address:   BEAUTYCOS, INTERNATIONAL CO., LTD. 22 Zi Teng Street, Jin Ji Hu Road, SIP, Suzhou, P.R. China.","https://images-static.nykaa.com/media/catalog/product/f/5/f507df06923700970449_1.jpg?tr=w-344,h-344,cm-pad_resize"
L'Oreal Professionnel Absolut Repair Shampoo For Dry and Damaged Hair(300ml),₹745,"       Explore the entire range of  Shampoo available on Nykaa. Shop more  L'Oréal Professionnel products here.You can browse through the complete world of   L'Oréal Professionnel Shampoo .Expiry Date: 15 April 2026Country of Origin:   IndiaManufacturer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Importer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Packer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.","https://images-static.nykaa.com/media/catalog/product/8/c/8cbcd94NYLOPROF00002_1.jpg?tr=w-344,h-344,cm-pad_resize"
L'Oreal Professionnel Absolut Repair Hair Mask For Dry and Damaged Hair(250gm),₹920,"       Explore the entire range of  Hair Creams & Masks available on Nykaa. Shop more  L'Oréal Professionnel products here.You can browse through the complete world of   L'Oréal Professionnel Hair Creams & Masks .Expiry Date: 15 March 2026Country of Origin:   IndiaManufacturer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Importer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Packer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.","https://images-static.nykaa.com/media/catalog/product/8/c/8cbcd94NYLOPROF00001_1.jpg?tr=w-344,h-344,cm-pad_resize"
Love Beauty & Planet Argan Oil and Lavender Sulfate Free Smooth and Serene Shampoo(400ml),₹423,,"https://images-static.nykaa.com/media/catalog/product/8/2/82b17ff8901030755835_1.jpg?tr=w-344,h-344,cm-pad_resize"
"Wishcare Hair Growth Serum Concentrate - Redensyl, Anagain, Caffeine, Biotin, Keratin & Rice Water(30ml)",₹685,,"https://images-static.nykaa.com/media/catalog/product/1/2/12d49faWISHC00000042_a1.jpg?tr=w-344,h-344,cm-pad_resize"
L'Oreal Paris Hyaluron Moisture 72H Moisture Filling Shampoo With Hyaluronic Acid(1L),₹745,"  Explore the entire range of  Shampoo available on Nykaa. Shop more  L'Oréal Paris products here.You can browse through the complete world of   L'Oréal Paris Shampoo .Expiry Date: 15 June 2026Country of Origin:   IndiaManufacturer:   Loreal India Pvt LtdAddress:   Loreal India Pvt Ltd, Chakan, Pune - 410501","https://images-static.nykaa.com/media/catalog/product/f/5/f507df08901526603435_1.jpg?tr=w-344,h-344,cm-pad_resize"
"L'Oreal Professionnel X-Tenso Care Shampoo For Smooth, Manageable Hair(250ml)",₹650,"                    Explore the entire range of  Shampoo available on Nykaa. Shop more  L'Oréal Professionnel products here.You can browse through the complete world of   L'Oréal Professionnel Shampoo .Expiry Date: 15 March 2026Country of Origin:   IndiaManufacturer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Importer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Packer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.","https://images-static.nykaa.com/media/catalog/product/f/8/f85bae18901526403868_z1.jpg?tr=w-344,h-344,cm-pad_resize"
Minimalist Hair Growth Redensyl & Actives Hair 18% Serum For Reducing Hairfall & Boosts Growth(30ml),₹759,,"https://images-static.nykaa.com/media/catalog/product/b/c/bcb546bMINIM00000018_2.jpg?tr=w-344,h-344,cm-pad_resize"
"Matrix Opti.Care Professional Shampoo for Frizzy Hair with Shea Butter, Upto 4 Days Frizz Control(350ml)",₹560,"With today’s sleek styles, nothing puts a crimp in your look faster than frizzy hair! With hair that is not smooth straight, you live in fear of rain, humidity or even perspiration, which can cause your hair to become even fuller and wilder! Look no further as we bring you Matrix Opti.Care Smooth Straight! Enriched with Shea butter, it helps protect post-straightening treatments as well, condition, and moisturize for smooth straight hair.Explore the entire range of  Shampoo available on Nykaa. Shop more  Matrix products here.You can browse through the complete world of   Matrix Shampoo .Expiry Date: 15 March 2026Country of Origin:   IndiaManufacturer:   MatrixAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Importer:   MatrixAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Packer:   MatrixAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.","https://images-static.nykaa.com/media/catalog/product/5/0/50a91e7NYMATRIX00109_2507231.jpg?tr=w-344,h-344,cm-pad_resize"
The Ordinary Multi-Peptide Serum For Hair Density(60ml),₹2000,,"https://images-static.nykaa.com/media/catalog/product/2/2/226647aTHECI00000025.jpg?tr=w-344,h-344,cm-pad_resize"
