name,price,description,image
Cetaphil Gentle Skin Cleanser |Dry to Normal Skin with Niacinamide |Dermatologist Recommended(125ml),₹266,"Explore the entire range of  Cleanser available on Nykaa. Shop more  Cetaphil products here.You can browse through the complete world of   Cetaphil Cleanser .Expiry Date: 15 June 2026Country of Origin:   IndiaManufacturer:   Encube Ethicals Pvt. LtdAddress:   Encube Ethicals Pvt. Ltd.Plot No C 1, Madkaim Industrial Estate,,Post Mardol, Ponda, Goa 403408","https://images-static.nykaa.com/media/catalog/product/1/8/18d33a4NYCETA0000010_1509231.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa Skin Secrets Exotic Indulgence Gold Sheet Mask For Revitalized & Youthful Skin(20ml),₹78," Introducing Nykaa Skin Secrets Sheet Masks, where touted beauty secrets from the soils of India meet the cutting-edge technology of Korea. Carefully chosen, we bring you 29 variants that are crafted with an eco-friendly Lyocell fabric that provides a smooth feel and cotton like comfort. Infused with serum, these sheets give you a major boost of hydration and are specifically made to target all your skin concerns.HOW TO USESNAILGOLDBESAN + TURMERICSAFFRON + HONEYCUCUMBER + ALOE VERANEEM + TURMERICTULSI + YOGURTSANDALWOOD + ORANGE PEELPEARL + HYALURONIC ACIDSTRAWBERRY + ARGAN OILLEMON + HONEYTEA TREE + ALOE VERABLACK MUD + ALOE VERARICE WATER + WHITE TEAGREEN TEA + ALOE VERAHONEY + LAVENDERCOLLAGEN + GRAPEFRUITROSE + GOAT MILKGOOSEBERRY + PAPAYACHARCOAL + BAMBOOACAI BERRY + POMEGRANATEALMOND + YOGURTGINSENG + APRICOATLOTUS FLOWER + TIGER LILYAVOCADO + MORINGATURMERIC + COCONUTRICE + CAMELLIAMATCHA TEA + CAMOMILEPEPTIDES + GOJI BERRYCOMPLETE YOUR SKINCARE ROUTINE         Explore the entire range of  Sheet Masks available on Nykaa. Shop more  Nykaa Naturals products here.You can browse through the complete world of   Nykaa Naturals Sheet Masks .Expiry Date: 15 August 2025Country of Origin:   South KoreaManufacturer:   FSN Brands Marketing Pvt. Ltd.Address:   A-1, 135 Shah & Nahar Ind. Estate, Sitaram Jadhav Marg, Lower Parel (W), Mumbai - 400013. Importer:   FSN Brands Marketing Pvt. Ltd.Address:   A-1, 135 Shah & Nahar Ind. Estate, Sitaram Jadhav Marg, Lower Parel (W), Mumbai - 400013.","https://images-static.nykaa.com/media/catalog/product/3/8/389e50f8904245712280_1.jpg?tr=w-344,h-344,cm-pad_resize"
The Ordinary Niacinamide 10% + Zinc 1%(30ml),₹550,,"https://images-static.nykaa.com/media/catalog/product/2/2/226647aTHECI00000026.jpg?tr=w-344,h-344,cm-pad_resize"
COSRX Advanced Snail 96 Mucin Power Essence(100ml),₹1233,"COSRX Advanced Snail 96 Mucin Power Essence comprises of 96% skin friendly snail secretion filtrate that is effective at repairing damaged skin, improving skin elasticity and maintaining hydration level all day long. It only contains essential ingredients, that nourish, repair and revitalise the skin. Snail mucin has the ability to repair everything from dry patches, to acne breakouts while helping zap hyperpigmentation, so with loyal use your skin will glow.Features:Lightweight essence that absorbs in the skin and imparts a natural glow Loaded with 96% snail mucin extract to replenish and repair damaged skin Helps prevent moisture loss and keeps the skin hydrated all day longSuitable for all skin typesThis product is free from fragrance, paraben, ethanol, surfactant, artificial colorant, triethanolamine and phthaleinCOSRX products are cruelty-freeAbout the Brand: COSRX is derived from the words ""cosmetics"" and ""prescription (RX)."" Their goal is to provide customized solutions for customers' individual skin concerns. The brand believes that cosmetics should be more than just looking beautiful on the outside. They are devoted to enabling individuals with various skin types to solve their problems, gain self-confidence, and find their true beauty.Explore the entire range of  Serums & Essence available on Nykaa. Shop more  COSRX products here.You can browse through the complete world of   COSRX Serums & Essence .Expiry Date: 15 May 2026Country of Origin:   South KoreaManufacturer:   COREA COSMEDICAL CENTER Co., South KoreaAddress:   Botera Ecommerce LLP, 303 Navyug Industrial Estate, T J Road, Sewree, Mumbai 400015","https://images-static.nykaa.com/media/catalog/product/a/8/a8468fe8809416470009_1n.jpg?tr=w-344,h-344,cm-pad_resize"
Aqualogica Glow+ Dewy Sunscreen with Papaya & Vitamin C - SPF 50 PA+++ for UVA/B(50g),₹363,"It's time to Protect + Hydrate + Glow! Shield your skin from harmful sun rays while keeping it hydrated with Aqualogica Glow+ Dewy Sunscreen. Packed with SPF 50 and PA+++ protection, this sunscreen aces the game of guarding your skin from sun damage & Blue Light. Crafted with a powerful blend of Vitamin C & Papaya and perfected with a light water-based texture, this hydrating Sunscreen infuses moisture into the skin and while making skin glow. With a fusion of Titanium Dioxide and Zinc Oxide, it protects against both UVA and UVB rays.Explore the entire range of  Face Sunscreen available on Nykaa. Shop more  Aqualogica products here.You can browse through the complete world of   Aqualogica Face Sunscreen .Expiry Date: 15 April 2025Country of Origin:   IndiaManufacturer:   AnapureAddress:   Anapure Biocos, Plot Number 911, Phase 2 Industrial Area, Chandigarh - 160002 M.: 01-2016Mfg/Cos/Ss/Chd","https://images-static.nykaa.com/media/catalog/product/5/4/5440bc8AQUAA00000021_1.jpg?tr=w-344,h-344,cm-pad_resize"
Ponds Super Light Gel Oil Free Moisturiser With Hyaluronic Acid + Vitamin E(200ml),₹264,       Explore the entire range of  Face Moisturizer & Day Cream available on Nykaa. Shop more  Ponds products here.You can browse through the complete world of   Ponds Face Moisturizer & Day Cream .Expiry Date: 15 April 2026Country of Origin:   IndiaManufacturer:   Hindustan Unilever LimitedAddress:   Hindustan Unilever Ltd| Unilever House| B D Sawant Marg| Chakala Andheri East - 400099,"https://images-static.nykaa.com/media/catalog/product/9/b/9b6fba927473_H-8901030883255.jpg?tr=w-344,h-344,cm-pad_resize"
The Derma Co 1% Hyaluronic Sunscreen Aqua Gel With Spf 50 Pa++++ For Broad Spectrum(50 g),₹448,"   Explore the entire range of  Face Sunscreen available on Nykaa. Shop more  The Derma Co products here.You can browse through the complete world of   The Derma Co Face Sunscreen .Expiry Date: 15 March 2025Country of Origin:   IndiaManufacturer:   Anapure Biocos,  Address:   Plot Number 911, Phase 2 Industrial Area, Chandigarh- 160002","https://images-static.nykaa.com/media/catalog/product/4/f/4f5a52cTHEDE00000076_1.jpg?tr=w-344,h-344,cm-pad_resize"
Dr. Sheth's Ceramide & Vitamin C Sunscreen(50g),₹398,"       Explore the entire range of  Face Sunscreen available on Nykaa. Shop more  Dr. Sheth's products here.You can browse through the complete world of   Dr. Sheth's Face Sunscreen .Expiry Date: 15 April 2025Country of Origin:   IndiaManufacturer:   Anapure BiocosAddress:   Fusion Cosmeceutics, 105 Maker Bhavan No.3, New Marin Lines,Mumbai -400 028","https://images-static.nykaa.com/media/catalog/product/1/f/1fcf86cDRSHE00000048_1.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa Skin Secrets Indian Rituals Sandalwood + Orange Peel Sheet Mask For Glowing & Calm Skin(20ml),₹78,,"https://images-static.nykaa.com/media/catalog/product/1/_/1_608.jpg?tr=w-344,h-344,cm-pad_resize"
Neutrogena Ultrasheer SPF50+ PA+++ Face Sunscreen With Helioplex For Ultralight Feel & Matte Finish(30ml),₹234,"      Explore the entire range of  Face Sunscreen available on Nykaa. Shop more  Neutrogena products here.You can browse through the complete world of   Neutrogena Face Sunscreen .Expiry Date: 15 August 2025Country of Origin:   South KoreaManufacturer:   Johnson & Johnson Korea LtdAddress:   61, Daesin-ro 164beon-gil, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Korea","https://images-static.nykaa.com/media/catalog/product/c/4/c4b596e8901012185292_01U.jpg?tr=w-344,h-344,cm-pad_resize"
