name,price,description,image
Bella Vita Luxury Perfumes Gift Set for Men(80ml),₹520,"       Bella Vita Luxury offers a curated Discovery set of our best-selling perfumes - For Him. A set of 4 miniatures, arousing your olfactive experience right from Oriental woody, fresh citrusy and spicy musky to match all types of date nights. A compilation of CEO Man, Impact, Dominus & Oud Parfum; why compromise when you can have all 4, easy to carry with you at all times!      CEO MAN      DOMINUS MAN      IMPACT MAN      OUD PARFUM        Top Notes Lemon, Spicy, Violet, Sugar Fruity notes Heart Notes Aromatic Geranium Lavender, Woody, Agarwood Leather Base Notes Ambergris, Moss, Tonka, Vetiver     Top Notes Rose, Jasmine Heart Notes Agarwood, Labdanum Base Notes Sandalwood, Amber, Vanilla and Cedar     Top Notes Mandarin Orange, Clary Sage Heart Notes Nutmeg, Cardamom Pimento Base Notes Sandalwood, Patchouli, Cedar     Top Notes Caramel  Heart Notes Floral Oud, Vanilla Base Notes Musk, Sandalwood, Cedarwood      How To Use                     WHY CHOOSE US       Perfect for everyday use    Affordable & luxurious    Mild yet long-lasting   Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Bella Vita Organic products here.You can browse through the complete world of   Bella Vita Organic Perfumes (EDT & EDP) .Expiry Date: 15 June 2026Country of Origin:   IndiaManufacturer:   Idam Natural Wellness Pvt. Ltd.Address:   417, First Floor, Udyog Vihar Phase 3, Sector 20, Gurugram, 122008 Haryana, India","https://images-static.nykaa.com/media/catalog/product/a/c/ac85482BELAB00000047d_1.jpg?tr=w-344,h-344,cm-pad_resize"
Plum BodyLovin' Vanilla Vibes Eau De Parfum - Long Lasting Warm Vanilla Perfume(15ml),₹236,"     Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Plum products here.You can browse through the complete world of   Plum Perfumes (EDT & EDP) .Expiry Date: 15 May 2025Country of Origin:   IndiaManufacturer:   Aarvee EnterprisesAddress:   Aarvee Enterprises, D222/39, Ttc Industrial Area, Midc, Shirvane, Nerul, Navi Mumbai, 400706, Maharashtra, India. Mfg Lic No. Mh/102156","https://images-static.nykaa.com/media/catalog/product/7/a/7a5dadfPLUMX00000286_1007231.jpg?tr=w-344,h-344,cm-pad_resize"
Engage W2 Perfume Spray For Women(120ml),₹173,"Handpicked for the woman of today, who is sassy, bold, and beautiful, yet sometimes coy, this is a perfect blend of tantalizing notes. With patterns that criss cross and meet each other to form a fusion of a gorgeous fragrance, this is just perfect for all occasions, and a woman who is bold enough to embrace her personality. Be it a corporate chic, or an artist who plays with her world of creativity, this is just the fragrance for all. Engage for women is a gorgeous blend of notes which bring alive the moments of love and passion, at the same time giving you a scent of your own. Spray it on in the morning, for that perfect day of vigour.Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Engage products here.You can browse through the complete world of   Engage Perfumes (EDT & EDP) .Expiry Date: 15 February 2028Country of Origin:   IndiaManufacturer:   MIDAS-CARE PHARMACEUTICALS PVT. LTD.,   Vanesa Cosmetics ITC LimitedAddress:   MIDAS-CARE PHARMACEUTICALS PVT. LTD.,   Vanesa Cosmetics ITC Limited","https://images-static.nykaa.com/media/catalog/product/m/_/m_8901725959104_1_.jpg?tr=w-344,h-344,cm-pad_resize"
Plum BodyLovin' Hawaiian Rumba Eau De Parfum - Long Lasting Beachy Perfume(15ml),₹207,"     Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Plum products here.You can browse through the complete world of   Plum Perfumes (EDT & EDP) .Expiry Date: 15 October 2024Country of Origin:   IndiaManufacturer:   Aarvee Enterprises, D222/39, TTC Industrial Area, MIDC, Shirvane, Nerul, Navi Mumbai, 400706, Maharashtra, India. Mfg Lic No. MH/102156Address:   Aarvee Enterprises, D222/39, Ttc Industrial Area, Midc, Shirvane, Nerul, Navi Mumbai, 400706, Maharashtra, India. Mfg Lic No. Mh/102156","https://images-static.nykaa.com/media/catalog/product/d/8/d865faePLUMX00000178_1310231.jpg?tr=w-344,h-344,cm-pad_resize"
DIOR Sauvage Eau De Parfum(60ml),₹7800,,"https://images-static.nykaa.com/media/catalog/product/d/f/df9748a3348901368254.jpg?tr=w-344,h-344,cm-pad_resize"
Carolina Herrera Good Girl Eau De Parfum(30ml),₹4500,"                                Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Carolina Herrera products here.You can browse through the complete world of   Carolina Herrera Perfumes (EDT & EDP) .Expiry Date: 15 February 2027Country of Origin:   SpainImporter:   BACCAROSE Perfumes & Beauty Products LtdAddress:   BACCAROSE Perfumes & Beauty Products Ltd, 6th Floor, 66, Maker Chamber VI, Nariman Point, Mumbai- 400021 Contact Number 1800220864","https://images-static.nykaa.com/media/catalog/product/e/0/e0fc9348411061823514.jpg?tr=w-344,h-344,cm-pad_resize"
Yves Saint Laurent Libre Eau De Parfum(10ml),₹1800,,"https://images-static.nykaa.com/media/catalog/product/5/a/5a234c0YVESS00000024ab_0.jpg?tr=w-344,h-344,cm-pad_resize"
Sol de Janeiro Brazilian Crush Cheirosa 62 Bum Bum Hair & Body Mist(90ml),₹2300,"A body fragrance mist, bursting with an alluring pistachio and salted caramel scent, to be used on body, hair, and lingerie.One of Brazilians’ essential beauty secrets is being cheirosa (sheh-rō-zah), which means to always smell incredibly delicious from sunrise to sundown. Brazilian Crush Cheirosa '62, a body fragrance mist, instantly transports you to the sultry beaches of Rio de Janeiro. Inspired by the addictive pistachio and salted caramel scented Brazilian Bum Bum Cream, Brazilian Crush Cheirosa '62 is a delightfully sunny, daily immersion for use on body, hair, and lingerie.Cheirosa 62 is inspired by the year 1962, when the world fell in love with the Girl from Ipanema and the beach culture of Brazil. It’s the scent people can't get enough of. Why? Because it conjures the happiest vibes and inspires instant smiles, it’s everyone’s crush.Features:- Sundrenched and indescribably delicious, Cheirosa 62 leaves you so cheirosa, which in Brazil means you smell incredibly irresistible. It’s a way of life and a way of loving life. - The best-loved, iconic Cheirosa 62 scent is at the heart of the award-winning Brazilian Bum Bum Cream.- Vegan, cruelty-free, sustainably sourced, recyclable packaging.Fragrance notes:- Top: Pistachio, almond- Mid: Heliotrope, jasmine petals- Dry: Vanilla, salted caramel, sandalwoodThe Promise: Sol de Janeiro is always animal test-free, vegan friendly, sustainably sourced and reef free. All the products are formulated without sulfates, phthalates, parabens, mineral oil and microplastics. The brand prohibits the use of over 100 ingredients when formulating their products. Because skin that glows with confidence and happiness should be worry free.About the Brand: At the heart of Sol de Janeiro you'll find Brazilian Beauty Secrets that harness the power of potent ingredients from the Amazon Rainforest. Rich in benefits and luxuriously body-loving, these carefully selected star ingredients are tried and true skin and hair care solutions. Sol de Janeiro proudly partners with suppliers who share the commitment to protect the Amazon, and our planet. The products are thoughtfully created with sustainable ingredients from certified suppliers that never impact the beauty and integrity of the Amazon Rainforest. Their mission is to use sustainable and recyclable material whenever possible.Explore the entire range of  Body Mist/Spray available on Nykaa. Shop more  Sol de Janeiro products here.You can browse through the complete world of   Sol de Janeiro Body Mist/Spray .Expiry Date: 15 April 2026Country of Origin:   United States of America (the)Manufacturer:   Contract Filling Inc.Address:   Sol De Janeiro 551 Fifth Avenue, Suite 2030 New York, Ny 10176 UsaImporter:   FSN Brand Marketing Pvt LtdAddress:   A-1, 135 SHAH & NAHAR INDUSTRIAL ESTATE SJ MARG,LOWER PAREL LOWER PAREL, Mumbai- 400013","https://images-static.nykaa.com/media/catalog/product/9/6/9600c67SOLDE00000044c_0.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa Love Struck mini Perfume - First Date (16ml)(16ml),₹249,,"https://images-static.nykaa.com/media/catalog/product/4/7/4750a19NYKAB00000938_1.jpg?tr=w-344,h-344,cm-pad_resize"
Layerr Wottagirl Body Splash - Pack Of 4(100ml),₹267,,"https://images-static.nykaa.com/media/catalog/product/9/9/99bd4a3LAYER00000005_1.jpg?tr=w-344,h-344,cm-pad_resize"
 
