name,price,description,image
Lakme Forever Matte Liquid Lip Color - Nude Dream(5.6ml),₹279,"                                              Explore the entire range of  Liquid Lipstick available on Nykaa. Shop more  Lakme products here.You can browse through the complete world of   Lakme Liquid Lipstick .Expiry Date: 15 December 2025Country of Origin:   IndiaManufacturer:   Hindustan Unilever LtdAddress:   Hindustan Unilever Ltd, B.D.Sawant Marg, Andheri East, Mumbai, Maharashtra 400099","https://images-static.nykaa.com/media/catalog/product/2/8/2807eca24551_H_8901030758942.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa Matte to Last! Transfer Proof Liquid Lipstick - Boho 16(5ml),₹439," Explore the entire range of  Liquid Lipstick available on Nykaa. Shop more  Nykaa Cosmetics products here.You can browse through the complete world of   Nykaa Cosmetics Liquid Lipstick .Expiry Date: 15 November 2025Country of Origin:   IndiaManufacturer:   FSN E-Commerce Ventures LimitedAddress:   104 Vasan Udyog Bhavan Sun Mill Compound Senapati Bapat Marg, Lower Parel, Mumbai City Maharashtra - 400013","https://images-static.nykaa.com/media/catalog/product/5/5/555cfc48904245705107_1.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York Fit Me 16Hr Oil Control Compact - 128 Warm Nude(6gm),₹214,,"https://images-static.nykaa.com/media/catalog/product/0/0/0076e1eMAYBE00000020_1.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York Lash Sensational Sky High Waterproof Mascara(6ml),₹535,"  Explore the entire range of  Mascara available on Nykaa. Shop more  Maybelline New York products here.You can browse through the complete world of   Maybelline New York Mascara .Expiry Date: 15 April 2025Country of Origin:   United States of America (the)Manufacturer:   L'Oreal USA Products IncAddress:   L'Oreal Usa Products, Inc., North Little Rock Manufacturing 11500 Maybelline Road-North Little Rock-Ar 72117 - Usa","https://images-static.nykaa.com/media/catalog/product/2/8/284413aMAYBE00000375_1.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York Fit Me Matte+Poreless Liquid Foundation Tube - 128 Warm Nude(18ml),₹244,,"https://images-static.nykaa.com/media/catalog/product/8/d/8d9e9d86902395722434_1.jpg?tr=w-344,h-344,cm-pad_resize"
Insight Cosmetics Blusher - Strawberry Drip(3.5 g),₹76,"          Explore the entire range of  Blush available on Nykaa. Shop more  Insight Cosmetics products here.You can browse through the complete world of   Insight Cosmetics Blush .Expiry Date: 15 May 2026Country of Origin:   IndiaManufacturer:   MAYURI KUMKUM LTDAddress:   Mayuri Kumkum Ltd. Gurukripa Developer,Bldg. No.3,Dhumal Nagar,Waliv, Vasai (East),Thane-401208","https://images-static.nykaa.com/media/catalog/product/3/9/39d4ccbINSIG00000571_1.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York Instant Age Rewind Concealer - Medium(6ml),₹474,"                         Explore the entire range of  Concealer available on Nykaa. Shop more  Maybelline New York products here.You can browse through the complete world of   Maybelline New York Concealer .Expiry Date: 15 September 2025Country of Origin:   ChinaAddress:   Yichang Tianmi International Cosmetics Co.,44300, No.18 Xihu Road, Xiling Economic Developing Zone, China","https://images-static.nykaa.com/media/catalog/product/0/4/04a1af76902395487432_1.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York Color Sensational Creamy Matte Lipstick - 657 Nude Nuance(3.9g),₹230,"             Explore the entire range of  Lipstick available on Nykaa. Shop more  Maybelline New York products here.You can browse through the complete world of   Maybelline New York Lipstick .Expiry Date: 15 January 2026Country of Origin:   ChinaAddress:   YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD.,  443000, NO. 18 XIHU ROAD, XILING ECONOMIC DEVELOPING ZONE, YICHANG, CHINA","https://images-static.nykaa.com/media/catalog/product/e/6/e6d65cd41554453645_1.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa Cosmetics Eyes On Me! 4 in 1 Quad Eyeshadow Palette - Sunset Stroll(5gm),₹225,,"https://images-static.nykaa.com/media/catalog/product/e/5/e5d4fedNYKAC00000373_1.jpg?tr=w-344,h-344,cm-pad_resize"
Lakme 9 To 5 Primer + Matte Lipstick - MP8 Rosy Sunday(3.6g),₹413,"                                                Explore the entire range of  Lipstick available on Nykaa. Shop more  Lakme products here.You can browse through the complete world of   Lakme Lipstick .Expiry Date: 15 June 2025Country of Origin:   IndiaManufacturer:   Hindustan Unilever LimitedAddress:   Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099","https://images-static.nykaa.com/media/catalog/product/2/8/2807eca24859_H_8901030794773.jpg?tr=w-344,h-344,cm-pad_resize"
